Trip Duration,Birth Year
380,2000
2145,2000
2144,2000
405,2000
1291,2000
1128,2000
985,2000
712,2000
248,2000
656,2000
466,2000
614,2000
441,2000
337,2000
188,1980
1248,1980
1439,1980
381,1980
739,1980
2209,1980
1897,1980
1886,1980
536,1980
262,1980
511,1980
466,1980
441,1980
2493,1980
338,1980
249,1980
643,1980
317,1980
319,1980
944,1980
234,1980
1545,1980
178,1980
540,1980
512,1980
1228,1980
104,1980
494,1980
1655,1980
2212,1963
911,1963
991,1963
491,1963
2283,1963
1599,1963
418,1963
686,1963
1374,1963
1017,1963
760,1963
1157,1963
1485,1963
543,1963
1264,1963
659,1963
1675,1963
395,1963
494,1963
301,1963
463,1963
1770,1963
323,1963
2149,1963
1221,1963
170,1963
593,1958
294,1958
1812,1958
567,1958
401,1958
738,1958
723,1958
230,1958
451,1958
358,1958
3757,1958
860,1958
865,1958
1251,1958
1351,1958
467,1958
1317,1958
809,1958
585,1958
258,1958
1020,1958
391,1958
138,1958
2568,1958
981,1958
426,1958
1210,1958
988,1958
2274,1958
485,1958
2599,1958